id,name,geo,thesis_tags,check_range,check_min_usd,check_max_usd,source_type,source_label,source_link,proof_quality,legal_risk_flag,check_fit,thesis_fit,recency,source_reliability,intro_access,risk_penalty,total,tier,role_expected,first_touch_channel,owner,deadline,reason_codes,email,telegram,social,notes
"28","Амбарцум Амаякян","Россия","FoodTech/Restaurant Tech ангел","≈ $520 k","520000","520000","media_high","RB.ru новость","https://rb.ru/","high","false","35","24","18","10","6","0","93","A","lead","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Дает крупные чеки в FoodTech, знаком с онлайнобразованием; может помочь Credo OS в монетизации ресторанных AIпроектов."
"41","Алексей Перельман","Россия","LegalTech ангел","$1 m (2021) – доп. выкуп доли 2024","1000000","1000000","media_high","RB.ru новость","https://rb.ru/","high","false","35","24","18","10","6","0","93","A","lead","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Юристинвестор, вкладывает в LegalTech; релевантен для комплаенсфункций Credo OS."
"20","Олег Чельцов","США/Франция","IT/SaaS/Geoservices ангел","$100 k–2.5 M","100000","2500000","media_high","Профиль Talari","https://rb.ru/data/oleg-cheltsov/","high","false","35","24","16","10","6","0","91","A","lead","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Предлагает крупные чеки и опыт масштабирования SaaS."
"29","Алексей Блохин","Россия","AI/EdTech ангел","≈ ₽40 млн (~$440 k)","440000","440000","media_high","RB.ru новость","https://rb.ru/","high","false","30","24","18","10","6","0","88","A","lead","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Активно инвестирует в AIобразование; может стать технологическим ментором."
"36","Антон Илюшин","Россия","WasteTech/Green Tech ангел","≈ ₽24 млн (~$260 k)","260000","260000","media_high","RB.ru отчёт","https://rb.ru/","high","false","30","24","18","10","6","0","88","A","anchor","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Молодой ангел, инвестирует в экологические сервисы; может заинтересоваться AIоптимизацией отходов Credo OS."
"39","Сергей Белих","Россия","Media/AI ангел","≈ ₽?? (оценка $100 k+)","100000","","media_high","RB.ru отчёт","https://rb.ru/","high","false","24","24","18","10","6","0","82","A","anchor","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Вкладывается в media AI; интересен для Credo OS по контентуправлению."
"27","Иван Елисеев","Россия","GameDev ангел","≈ ₽12 млн (~$130 k)","130000","130000","media_high","RB.ru новость","https://rb.ru/","high","false","24","24","18","10","3","0","79","A","anchor","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|RECENT_ACTIVITY_SIGNAL","","","","Примеры инвестиций в гейминдустрию; интересна его готовность финансировать AIигры."
"35","Евгений Копыркин","Россия","Industrial/Robotics ангел","$872 k","872000","872000","media_high","RB.ru отчёт","https://rb.ru/","high","false","35","9","18","10","6","0","78","A","lead","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Интересуется робототехникой; может поддержать Credo OS в hard & roboticsсегментах."
"38","Анна Бачина","Россия","FoodTech/HoReCa ангел","$1.8 M","1800000","1800000","media_high","RB.ru отчёт","https://rb.ru/","high","false","35","9","18","10","6","0","78","A","lead","Warm intro via operator network","Founder","D+3 days","STRONG_CHECK_CAPACITY|RECENT_ACTIVITY_SIGNAL","","","LinkedIn","Ориентируется на потребительский рынок; может поддержать B2Cнаправление Credo OS."
"12","Павел Черкашин","США / Россия","IT/FinTech/AI/Space ангел","≈ $1 M","1000000","1000000","directory_low","Профиль Talari","https://talari.ru/investors/","low","false","35","24","9","3","6","0","77","B","lead","LinkedIn","Founder","D+10 days","STRONG_CHECK_CAPACITY|STRONG_THESIS_FIT|LOW_SOURCE_CONFIDENCE","","","LinkedIn","Венчурный инвестор с международным опытом; может привести серьёзных партнёров."
